FAQ_ID,Question,Answer,Category,Difficulty_Level,Related_Departments,Roles_Concerned,Context_Tags,Last_Updated
F001,"What are NovaTech's working hours?","Our standard working hours are 9:00–17:00 CET, Monday to Friday. Flexible hours are available for hybrid and remote employees upon manager approval.",HR,Easy,"HR,Management","All","working hours; schedule; hybrid; remote",2025-12-05
F002,"How do I request vacation days?","Employees can submit vacation requests through the HR Portal under 'Leave Management'. Requests must be approved by your direct manager.",HR,Easy,"HR","All","vacation; leave request; holidays",2025-12-05
F003,"Who approves my time off request?","Your direct manager approves your leave request after it's submitted in the HR Portal.",HR,Easy,"HR,Management","All","leave approval; HR portal",2025-12-05
F004,"How do I access my company email?","Company email is accessed through Outlook (web or desktop). Your login details are provided on Day 1 after Account Creation.",IT,Easy,"IT","All","email; Outlook; login",2025-12-05
F005,"What should I do if I forget my company password?","Use the Password Reset Tool on the IT Portal. If 2FA blocks you, contact IT Support.",IT,Medium,"IT","All","password reset; forgot password; authentication",2025-12-05
F006,"How do I connect to the company VPN?","Install the VPN client provided by IT during setup and log in using your company credentials. VPN is required for accessing internal dashboards from home.",IT,Medium,"IT","All (Remote; Hybrid)","VPN; remote access; IT setup",2025-12-05
F007,"Where can I find onboarding documents?","All onboarding materials are available in the Notion workspace under 'NovaTech – Onboarding Hub'.",General,Easy,"HR,IT,AI","All","onboarding docs; Notion; handbook",2025-12-05
F008,"How do I report an IT issue?","Submit a ticket through the IT Support Portal. For urgent issues, message the IT Support channel on Slack.",IT,Easy,"IT","All","IT support; troubleshooting; ticket",2025-12-05
F009,"What is the probation period at NovaTech?","The standard probation period is 6 months. Performance checks occur at month 3 and 6.",HR,Medium,"HR,Management","All","probation; performance review",2025-12-05
F010,"Does NovaTech support remote work?","Yes. Remote and hybrid work is allowed depending on your role and manager approval.",HR,Easy,"HR","AI roles; Engineering; IT; Management","remote work; hybrid; work policy",2025-12-05
F011,"How do I get access to Supabase?","Access is granted by IT after Account Creation. For AI and Engineering roles, the Head of AI approves elevated permissions.",AI,Medium,"AI,IT","Head of AI; Data Analyst; AI Research Assistant; Software Engineer","Supabase; access; vector DB",2025-12-05
F012,"What tools do AI team members use?","The AI team uses Gemini, Supabase, Python environments, JupyterLab, GitHub, and internal RAG pipeline dashboards.",AI,Medium,"AI","Head of AI; ML Engineer; NLP Researcher; Prompt Engineer; AI Research Assistant; Product Designer","AI tools; Gemini; RAG; pipelines",2025-12-05
F013,"How do I join the sprint board?","Your manager or the Engineering Lead will add you to the Jira sprint board during your first week.",Engineering,Easy,"Engineering","Software Engineer; Backend Developer; Frontend Developer; AI Research Roles","Jira; sprints; agile",2025-12-05
F014,"Where can I view my payslip?","Payslips are available in the HR Portal under 'Payroll'.",HR,Easy,"HR","All","payslip; salary; HR portal",2025-12-05
F015,"What security training is mandatory?","Cybersecurity and data privacy training is required for all employees within the first week.",Compliance,Medium,"IT,Compliance","All","security training; GDPR; compliance",2025-12-05
F016,"How do I request new equipment?","Submit an Equipment Request Form through the IT Portal. Approval depends on role and availability.",IT,Medium,"IT,Management","All","equipment request; IT inventory",2025-12-05
F017,"Who is my direct manager?","Your direct manager is listed in the Employees Directory and visible on your onboarding page.",General,Easy,"HR,Management","All","manager; reporting line",2025-12-05
F018,"How do I update my personal information?","Personal details can be updated in the HR Portal under 'Profile Settings'.",HR,Easy,"HR","All","profile update; personal data; HR portal",2025-12-05
F019,"What should I do if I am sick?","Notify your manager and log your sick day in the HR Portal. A doctor's note is required for absences longer than 2 days.",HR,Medium,"HR,Management","All","sick leave; policy; absence",2025-12-05
F020,"Where do I find the RAG pipeline documentation?","RAG architecture, retrieval logic, and Supabase vector DB documentation are stored in Notion under 'AI – Internal Systems'.",AI,Hard,"AI","Head of AI; ML Engineer; Data Analyst; NLP Researcher; Prompt Engineer; AI Research Assistant","RAG; retrieval; documentation",2025-12-05
